CustomerID,Recency,Frequency,Monetary,Target
12346,295,1,77183.6,0
12347,9,6,4085.18,1
12348,44,4,1797.24,0
12350,279,1,334.40000000000003,0
12352,5,8,2506.04,0
12353,173,1,89.0,0
12354,201,1,1079.4,0
12355,183,1,459.40000000000003,0
12356,215,2,2753.08,1
12357,2,1,6207.67,0
12358,120,1,484.86,1
12359,27,4,6372.58,0
12360,21,3,2662.06,0
12361,256,1,189.9,0
12362,5,9,4697.1900000000005,1
12363,79,2,552.0,0
12364,9,3,1002.78,1
12365,260,2,641.38,0
12370,20,4,3545.69,0
12371,14,2,1887.96,0
12372,41,3,1298.04,0
12373,280,1,364.6,0
12375,67,1,230.3,1
12377,284,2,1628.1200000000001,0
12378,99,1,4008.62,0
12379,51,2,852.24,0
12380,26,3,1684.42,1
12381,2,4,1698.3,1
12383,154,5,1850.56,0
12384,91,1,292.69,1
12386,307,2,401.9,0
12388,45,5,2494.26,1
12390,49,1,549.84,0
12393,41,4,1582.6000000000001,0
12394,33,2,1272.48,0
12395,0,11,2752.8,1
12397,5,2,2409.9,0
12398,15,1,1635.6599999999999,0
12399,88,4,1108.65,0
12401,272,1,84.3,0
12402,292,1,225.60000000000002,0
12403,19,1,427.7,0
12405,118,1,1710.39,0
12406,153,1,1621.25,1
12407,19,5,1708.12,0
12408,2,5,2888.55,0
12409,48,3,11072.67,0
12410,278,2,693.33,0
12412,44,3,1226.88,0
12413,36,3,758.1,0
12414,186,3,562.4100000000001,0
12415,6,19,119559.13,1
12417,8,8,3279.37,1
12418,82,1,668.58,0
12420,33,1,600.39,0
12421,84,3,628.5600000000001,1
12422,65,3,803.5600000000001,0
12423,70,7,1650.67,1
12424,132,2,1760.96,0
12425,47,1,777.2,0
12426,164,1,582.73,0
12427,29,2,586.08,1
12428,89,8,7548.12,1
12429,142,3,2844.88,1
12430,12,1,256.4,0
12431,5,15,6487.45,0
12432,12,5,5059.32,0
12433,12,4,7893.89,1
12434,54,2,806.14,0
12435,49,2,7829.89,0
12436,69,1,509.01,0
12437,5,15,4294.5,1
12438,109,1,890.0699999999999,1
12441,336,1,173.55,0
12444,28,4,4068.82,1
12446,26,1,1002.3100000000001,0
12447,212,1,476.49,0
12448,13,1,449.45,0
12449,61,3,2724.58,1
12450,125,2,197.88,0
12451,34,3,7847.38,1
12453,103,1,707.09,0
12454,25,1,3528.34,0
12455,42,6,2466.86,0
12456,13,3,3181.04,0
12457,35,7,2363.23,0
12458,40,2,947.4,0
12461,63,2,826.88,0
12462,272,1,762.11,1
12463,22,4,1344.78,0
12464,75,6,780.55,1
12465,138,1,440.94,1
12468,157,2,729.54,0
12471,6,24,14891.26,1
12472,1,7,6572.11,0
12473,23,3,2884.23,1
12474,19,16,6197.06,1
12475,23,1,723.38,0
12476,15,9,4822.43,1
12477,25,5,11182.05,1
12480,112,3,2144.95,1
12481,35,9,5409.52,1
12483,10,7,2078.26,1
12484,2,6,4541.72,0
12488,9,2,767.45,1
12489,305,1,334.93,0
12490,6,7,4186.03,1
12491,8,1,460.40000000000003,0
12492,32,2,263.21000000000004,0
12493,135,2,433.74,0
12494,9,6,1083.6000000000001,1
12497,51,1,1043.1,0
12498,27,1,247.25000000000003,1
12500,19,10,3640.7799999999997,1
12501,306,1,2169.39,0
12502,65,5,3723.87,0
12506,202,1,73.5,0
12507,103,3,1304.81,0
12509,253,1,176.5,0
12510,112,2,982.5699999999999,0
12512,35,2,138.03,0
12513,82,1,612.29,0
12514,236,1,1017.6800000000001,0
12515,322,1,383.7,0
12516,47,2,1312.06,0
12517,43,3,1955.9,1
12518,28,3,1230.79,1
12519,33,1,340.84000000000003,0
12520,48,5,2634.26,0
12521,112,1,599.68,0
12522,8,2,192.72,0
12523,13,10,1527.35,1
12524,33,7,4177.92,1
12526,23,2,1039.58,1
12527,51,3,348.71000000000004,0
12528,33,5,1561.8799999999999,1
12530,29,4,1662.28,0
12534,100,1,1089.18,0
12535,61,2,716.35,0
12536,12,3,12601.830000000002,0
12539,231,3,4517.69,1
12540,0,16,12511.97,1
12541,142,2,536.14,1
12544,5,1,372.7,0
12545,44,2,1000.39,0
12546,16,2,1161.5,0
12547,167,2,207.8,0
12548,135,1,95.19999999999999,0
12550,48,1,964.83,0
12551,327,1,168.0,0
12552,8,2,437.82,0
12553,27,8,2897.14,1
12556,19,2,603.71,0
12557,127,4,9000.960000000001,1
12559,280,2,561.71,0
12560,81,2,1436.31,1
12561,272,1,238.85,0
12562,25,5,2507.4700000000003,1
12564,230,1,456.90000000000003,0
12565,258,1,145.92000000000002,0
12566,55,1,351.65,0
12567,65,9,7849.9800000000005,1
12569,5,22,2966.65,1
12571,9,2,519.61,0
12572,21,1,532.74,1
12573,196,1,160.54000000000002,0
12574,285,1,218.45000000000002,0
12576,5,5,1315.83,0
12577,4,3,657.8,0
12578,299,1,1608.66,1
12579,47,1,440.42,0
12580,216,1,415.7,0
12581,9,1,197.71,0
12582,208,2,511.36,0
12583,1,13,6188.89,1
12584,9,7,1723.45,1
12585,203,2,2040.1,0
12588,8,1,214.89999999999998,0
12589,114,1,131.5,1
12590,180,2,9864.26,0
12591,286,1,452.84999999999997,0
12592,61,2,437.6,0
12593,78,3,418.1,0
12594,7,10,3338.2200000000003,0
12596,20,2,618.27,0
12597,9,3,3605.26,1
12598,40,5,1946.14,1
12599,96,6,857.04,1
12600,53,9,2219.46,1
12601,159,5,577.0600000000001,0
12602,28,1,153.12,0
12604,48,2,254.18,0
12607,29,1,1579.51,0
12609,47,3,1126.85,0
12610,13,4,1851.34,1
12611,21,1,1193.32,0
12612,43,1,704.04,0
12613,26,5,3344.38,0
12614,247,1,315.6,0
12615,6,3,1868.3400000000001,1
12616,64,2,713.3,0
12619,3,8,3242.54,1
12620,50,2,939.32,1
12621,22,18,11891.19,1
12622,201,1,180.1,0
12623,245,1,305.1,0
12624,75,2,641.13,0
12625,181,2,2683.82,0
12626,12,8,6368.51,1
12627,33,6,3911.55,1
12628,2,2,571.21,1
12630,13,1,701.79,1
12631,26,1,640.5,0
12633,28,4,2163.98,0
12635,59,2,1689.18,0
12637,36,8,6021.9,0
12638,2,1,671.69,0
12639,208,1,486.1,0
12640,51,1,764.59,1
12641,84,1,185.9,0
12642,20,2,658.41,1
12643,97,6,3344.64,0
12644,99,1,477.90999999999997,0
12645,3,4,1775.18,0
12646,18,1,731.69,1
12647,47,11,3401.67,1
12648,124,1,318.05,0
12649,76,3,623.51,0
12651,304,1,114.0,0
12652,300,1,919.98,0
12653,118,2,2209.85,0
12654,6,4,508.98,1
12656,42,4,3465.42,1
12657,11,2,660.94,1
12662,22,8,3175.28,1
12664,5,7,3681.88,1
12665,294,1,63.0,0
12667,27,1,620.13,0
12668,228,3,2924.4700000000003,1
12669,120,3,2744.0299999999997,0
12670,68,3,1634.47,1
12672,299,1,225.9,0
12673,296,1,220.9,1
12674,8,4,1970.6,0
12676,40,5,1149.73,1
12678,11,12,17628.46,0
12679,28,4,1113.02,0
12680,42,3,613.36,1
12681,0,19,11988.22,1
12682,7,25,10051.6,1
12683,19,13,7679.09,1
12684,33,5,1627.24,1
12685,20,5,2449.96,1
12686,341,1,89.14,0
12688,83,1,4873.81,0
12689,97,1,511.03000000000003,1
12690,175,1,389.01,0
12691,27,5,859.4,1
12693,96,4,855.91,0
12694,39,2,869.67,0
12695,35,3,497.0,1
12697,100,2,733.91,1
12700,35,3,3625.24,1
12701,49,2,797.71,0
12703,40,1,283.55,0
12704,5,5,1907.75,1
12705,11,6,5973.59,1
12707,261,1,603.42,0
12708,2,9,2679.91,1
12709,12,14,8857.42,1
12710,66,3,1149.02,0
12712,18,12,4163.4800000000005,1
12714,76,4,3389.7,1
12715,75,1,353.86,0
12716,102,1,677.9,1
12717,120,2,1030.98,0
12718,40,1,238.25,0
