CustomerID,Recency,Frequency,Monetary,Target,CustomerLifespan,AvgOrderValue,PurchaseRate
12346,295,1,77183.6,0,295,77183.6,0.0033783783783783786
12347,9,6,4085.18,1,336,680.8633333333333,0.017804154302670624
12348,44,4,1797.24,0,327,449.31,0.012195121951219513
12350,279,1,334.40000000000003,0,279,334.40000000000003,0.0035714285714285713
12352,5,8,2506.04,0,266,313.255,0.0299625468164794
12353,173,1,89.0,0,173,89.0,0.005747126436781609
12354,201,1,1079.4,0,201,1079.4,0.0049504950495049506
12355,183,1,459.40000000000003,0,183,459.40000000000003,0.005434782608695652
12356,215,2,2753.08,1,295,1376.54,0.006756756756756757
12357,2,1,6207.67,0,2,6207.67,0.3333333333333333
12358,120,1,484.86,1,120,484.86,0.008264462809917356
12359,27,4,6372.58,0,301,1593.145,0.013245033112582781
12360,21,3,2662.06,0,170,887.3533333333334,0.017543859649122806
12361,256,1,189.9,0,256,189.9,0.0038910505836575876
12362,5,9,4697.1900000000005,1,265,521.9100000000001,0.03383458646616541
12363,79,2,552.0,0,211,276.0,0.009433962264150943
12364,9,3,1002.78,1,81,334.26,0.036585365853658534
12365,260,2,641.38,0,260,320.69,0.007662835249042145
12370,20,4,3545.69,0,329,886.4225,0.012121212121212121
12371,14,2,1887.96,0,29,943.98,0.06666666666666667
12372,41,3,1298.04,0,266,432.68,0.011235955056179775
12373,280,1,364.6,0,280,364.6,0.0035587188612099642
12375,67,1,230.3,1,67,230.3,0.014705882352941176
12377,284,2,1628.1200000000001,0,324,814.0600000000001,0.006153846153846154
12378,99,1,4008.62,0,99,4008.62,0.01
12379,51,2,852.24,0,139,426.12,0.014285714285714285
12380,26,3,1684.42,1,155,561.4733333333334,0.019230769230769232
12381,2,4,1698.3,1,89,424.575,0.044444444444444446
12383,154,5,1850.56,0,321,370.11199999999997,0.015527950310559006
12384,91,1,292.69,1,91,292.69,0.010869565217391304
12386,307,2,401.9,0,336,200.95,0.005934718100890208
12388,45,5,2494.26,1,296,498.85200000000003,0.016835016835016835
12390,49,1,549.84,0,49,549.84,0.02
